id_beneficiaire,region,zone,genre,age,statut_matrimonial,niveau_education,activite_principale,type_pret,groupe_solidarite,nb_cycles_anterieurs,nb_membres_menage,tontine_avant,mobile_money,montant_pret_fcfa,duree_pret_mois,distance_service_km,revenu_avant_fcfa,revenu_apres_fcfa,variation_revenu_pct,epargne_fcfa,emplois_crees,taux_remboursement_pct,score_satisfaction,defaut_flag
BEN-0021,Belier,Semi-urbain,Femme,32,Marie(e),Superieur,Commerce,Solidaire,Groupe A,2,3,Oui,Non,200000,18,37.3,134500,178800,32.9,19300,1,100.0,3.6,0
BEN-0022,Cavally,Rural,Homme,24,Celibataire,Primaire,Services,Individuel,Groupe A,2,5,Oui,Non,302000,24,36.2,122700,157100,28.0,5600,0,,2.9,1
BEN-0023,Zanzan,Rural,Femme,45,Celibataire,Superieur,Artisanat,Solidaire,Groupe A,2,7,Non,Non,327000,12,19.9,265700,368000,38.5,18100,3,96.1,3.8,0
BEN-0024,Vallee du Bandama,Urbain,Femme,41,Marie(e),Secondaire,Agriculture,Individuel,Groupe A,1,3,Non,Non,437000,12,12.0,147800,205100,38.8,14100,1,100.0,2.2,1
BEN-0025,Cavally,Semi-urbain,Homme,48,Marie(e),Secondaire,Elevage,Individuel,Groupe B,0,4,Oui,Non,506000,18,4.6,166100,220500,32.8,18800,0,82.2,3.2,0
BEN-0026,Cavally,Rural,Homme,48,Marie(e),Primaire,Elevage,Individuel,Groupe B,3,7,Non,Non,279000,18,22.9,214100,267300,24.8,9400,3,84.3,5.0,0
BEN-0027,Vallee du Bandama,Semi-urbain,Femme,42,Marie(e),Aucun,Elevage,Individuel,Groupe B,3,8,Non,Non,278000,24,1.0,121800,160500,31.8,5500,1,100.0,5.0,0
BEN-0028,Belier,Rural,Homme,49,Marie(e),Secondaire,Agriculture,Individuel,Groupe B,2,5,Oui,Non,276000,24,21.1,89400,104700,17.1,8300,1,97.0,2.8,1
BEN-0029,Vallee du Bandama,Rural,Femme,29,Marie(e),Aucun,Elevage,Solidaire,Groupe C,2,6,Non,Oui,320000,24,32.8,287100,233600,-18.6,12900,1,100.0,5.0,0
BEN-0030,Vallee du Bandama,Rural,Homme,51,Celibataire,Secondaire,Agriculture,Solidaire,Groupe A,1,8,Non,Non,307000,12,21.9,94000,96400,2.6,10100,2,90.7,3.8,0
BEN-0031,Zanzan,Urbain,Femme,39,Marie(e),Primaire,Commerce,Solidaire,Groupe A,0,2,Oui,Oui,151000,36,,99200,114600,15.5,7100,1,79.2,3.6,0
BEN-0032,Cavally,Semi-urbain,Femme,50,Celibataire,Superieur,Commerce,Solidaire,Groupe C,4,6,Non,Non,304000,18,7.2,,241200,11.2,10300,0,100.0,4.8,1
BEN-0033,Belier,Rural,Homme,25,Marie(e),Aucun,Services,Individuel,Groupe A,3,6,Oui,Non,493000,12,38.2,87300,89300,2.3,7600,1,93.6,3.0,0
BEN-0034,Marahoue,Semi-urbain,Femme,29,Celibataire,Primaire,Artisanat,Individuel,Groupe C,2,9,Oui,Oui,250000,18,1.0,69000,91700,32.9,10900,1,74.3,1.3,1
BEN-0035,Vallee du Bandama,Semi-urbain,Femme,18,Marie(e),Secondaire,Agriculture,Solidaire,Groupe B,3,6,Oui,Oui,103000,12,75.1,101800,145600,43.0,10700,0,100.0,4.1,0
BEN-0036,Zanzan,Urbain,Homme,50,Marie(e),Secondaire,Services,Solidaire,Groupe B,4,5,Oui,Oui,288000,24,12.3,228000,331000,45.2,36400,1,82.9,2.7,0
BEN-0037,Zanzan,Semi-urbain,Femme,45,Marie(e),Primaire,Artisanat,Solidaire,Groupe A,1,5,Oui,Oui,124000,6,7.5,138000,149100,8.0,4800,0,100.0,5.0,0
BEN-0038,Marahoue,Urbain,Femme,37,Veuf/Veuve,Primaire,Services,Individuel,Groupe C,2,9,Non,Oui,342000,36,3.4,129800,160600,23.7,2500,2,78.3,4.7,0
BEN-0039,Cavally,Semi-urbain,Homme,40,Celibataire,Aucun,Services,Solidaire,Groupe A,2,8,Non,Oui,196000,12,9.4,437400,469400,7.3,15000,0,67.0,2.1,1
BEN-0040,Zanzan,Semi-urbain,Homme,38,Marie(e),Primaire,Transformation,Solidaire,Groupe A,2,4,Non,Non,52000,12,11.0,202800,298900,47.4,8100,0,100.0,4.7,1
BEN-0041,Cavally,Rural,Femme,32,Veuf/Veuve,Superieur,Agriculture,Individuel,Groupe C,1,4,Oui,Oui,464000,6,15.4,,196200,26.6,11700,0,76.4,2.1,1
BEN-0042,Zanzan,Urbain,Femme,52,Marie(e),Secondaire,Artisanat,Solidaire,Groupe A,1,4,Non,Oui,411000,18,0.5,118700,129200,8.8,4900,1,68.2,2.7,0
BEN-0043,Marahoue,Rural,Femme,19,Marie(e),Primaire,Services,Individuel,Groupe C,3,3,Non,Non,181000,12,19.5,138700,146600,5.7,13000,0,80.2,2.8,1
BEN-0044,Cavally,Urbain,Homme,19,Veuf/Veuve,Aucun,Agriculture,Individuel,Groupe A,2,1,Oui,Non,202000,24,14.8,,288100,37.9,3100,2,68.4,4.9,0
BEN-0045,Zanzan,Rural,Femme,60,Marie(e),Aucun,Agriculture,Individuel,Groupe C,3,4,Oui,Non,238000,12,24.2,47500,56300,18.5,,4,100.0,4.2,0
BEN-0046,Marahoue,Semi-urbain,Femme,38,Marie(e),Aucun,Commerce,Solidaire,Groupe A,2,2,Non,Non,119000,12,4.1,250100,305300,22.1,7300,0,100.0,3.4,1
BEN-0047,Vallee du Bandama,Urbain,Femme,36,Veuf/Veuve,Primaire,Artisanat,Individuel,Groupe C,4,6,Oui,Oui,227000,24,9.0,164800,238800,44.9,6100,3,81.2,3.7,1
BEN-0048,Zanzan,Urbain,Femme,50,Marie(e),Aucun,Commerce,Individuel,Groupe C,1,6,Oui,Oui,272000,12,0.5,169200,236400,39.7,14700,1,47.2,2.9,1
BEN-0049,Vallee du Bandama,Rural,Femme,36,Marie(e),Secondaire,Commerce,Solidaire,Groupe B,4,3,Non,Oui,444000,24,23.3,209500,287700,37.3,12200,0,100.0,2.1,1
BEN-0050,Belier,Urbain,Homme,41,Celibataire,Primaire,Commerce,Solidaire,Groupe C,0,5,Non,Oui,233000,6,0.5,171900,204100,18.7,1600,4,84.2,4.9,0
BEN-0051,Belier,Urbain,Femme,40,Celibataire,Primaire,Artisanat,Solidaire,Groupe B,0,6,Oui,Non,102000,12,0.5,89700,108400,20.8,5000,0,99.7,3.0,0
BEN-0052,Cavally,Semi-urbain,Femme,25,Celibataire,Primaire,Artisanat,Solidaire,Groupe B,0,4,Oui,Oui,249000,6,1.5,255900,286700,12.0,13500,4,62.7,3.7,1
BEN-0053,Vallee du Bandama,Rural,Homme,32,Marie(e),Secondaire,Services,Solidaire,Groupe C,0,3,Oui,Oui,298000,24,17.2,288500,350400,21.5,45600,0,96.6,3.0,0
BEN-0054,Zanzan,Urbain,Homme,51,Veuf/Veuve,Primaire,Services,Individuel,Groupe A,3,7,Non,Oui,292000,6,0.5,123800,181000,46.2,,1,83.0,,1
BEN-0055,Vallee du Bandama,Semi-urbain,Femme,45,Marie(e),Primaire,Transformation,Individuel,Groupe B,3,8,Oui,Oui,341000,12,11.2,126200,171800,36.1,29400,0,82.1,1.8,1
BEN-0056,Cavally,Urbain,Homme,41,Celibataire,Aucun,Commerce,Individuel,Groupe B,1,7,Oui,Oui,295000,12,12.7,100000,91300,-8.7,5100,0,92.1,4.8,0
BEN-0057,Cavally,Semi-urbain,Femme,45,Veuf/Veuve,Primaire,Transformation,Solidaire,Groupe A,3,6,Non,Oui,281000,12,19.6,359300,573900,59.7,28000,2,86.0,3.2,0
BEN-0058,Vallee du Bandama,Semi-urbain,Femme,44,Marie(e),Primaire,Agriculture,Solidaire,Groupe B,3,4,Oui,Non,106000,12,2.8,114000,185900,63.1,4600,0,100.0,4.5,0
BEN-0059,Cavally,Semi-urbain,Femme,55,Marie(e),Aucun,Commerce,Solidaire,Groupe A,1,3,Non,Non,70000,18,2.9,185200,197400,6.6,16300,1,79.7,1.6,1
BEN-0060,Zanzan,Semi-urbain,Femme,31,Marie(e),Aucun,Commerce,Individuel,Groupe A,2,11,Non,Oui,296000,18,6.8,107100,148300,38.5,15400,1,86.4,3.8,0
BEN-0061,Vallee du Bandama,Rural,Homme,51,Celibataire,Secondaire,Agriculture,Solidaire,Groupe B,0,7,Non,Non,187000,12,16.7,201800,258100,27.9,9300,0,,2.5,1
BEN-0062,Belier,Rural,Femme,38,Marie(e),Aucun,Commerce,Solidaire,Groupe A,1,4,Oui,Non,88000,18,23.0,,140400,-8.6,3100,2,,2.4,1
BEN-0063,Zanzan,Rural,Femme,25,Celibataire,Aucun,Elevage,Solidaire,Groupe C,4,10,Oui,Non,139000,12,15.2,294600,371400,26.1,19000,0,100.0,3.5,1
BEN-0064,Cavally,Semi-urbain,Femme,43,Marie(e),Aucun,Agriculture,Solidaire,Groupe B,5,2,Non,Oui,217000,12,14.7,69100,88400,27.9,9700,3,100.0,2.6,1
BEN-0065,Belier,Rural,Femme,28,Marie(e),Aucun,Commerce,Individuel,Groupe A,3,5,Oui,Non,708000,24,25.1,56300,71200,26.5,,1,,,1
BEN-0066,Cavally,Rural,Femme,53,Marie(e),Primaire,Services,Individuel,Groupe C,2,8,Oui,Non,292000,24,61.4,155500,198800,27.8,1100,1,78.1,4.3,0
BEN-0067,Cavally,Rural,Femme,37,Celibataire,Aucun,Agriculture,Individuel,Groupe A,2,5,Oui,Non,471000,18,15.9,105800,116500,10.1,4900,1,68.7,4.0,0
BEN-0068,Vallee du Bandama,Semi-urbain,Femme,43,Celibataire,Primaire,Agriculture,Individuel,Groupe B,7,4,Oui,Oui,664000,12,5.7,107600,153600,42.8,6400,2,99.1,2.5,0
BEN-0069,Zanzan,Rural,Femme,35,Celibataire,Primaire,Commerce,Solidaire,Groupe C,0,8,Oui,Oui,471000,12,27.2,82300,96200,16.9,12100,1,94.0,3.2,1
BEN-0070,Belier,Urbain,Femme,32,Veuf/Veuve,Primaire,Agriculture,Individuel,Groupe B,2,6,Oui,Non,307000,12,0.5,170300,210400,23.5,14400,2,91.8,2.4,1
BEN-0071,Belier,Rural,Femme,41,Marie(e),Aucun,Commerce,Individuel,Groupe A,3,6,Oui,Oui,606000,12,20.5,79200,108200,36.6,,1,69.5,1.9,0
BEN-0072,Zanzan,Semi-urbain,Femme,43,Marie(e),Superieur,Artisanat,Solidaire,Groupe C,5,2,Non,Oui,497000,12,36.9,119200,137000,14.9,8200,1,94.6,5.0,0
BEN-0073,Belier,Rural,Homme,42,Marie(e),Aucun,Commerce,Individuel,Groupe A,2,8,Oui,Oui,555000,12,15.4,134100,154600,15.3,2800,1,59.0,1.1,1
BEN-0074,Marahoue,Rural,Femme,30,Divorce(e),Aucun,Artisanat,Solidaire,Groupe A,0,8,Oui,Non,216000,24,15.2,23100,32800,42.0,1800,0,85.1,2.5,1
BEN-0075,Marahoue,Semi-urbain,Homme,38,Marie(e),Primaire,Commerce,Solidaire,Groupe B,0,6,Oui,Non,481000,24,28.0,90400,94400,4.4,7700,1,100.0,2.9,0
BEN-0076,Zanzan,Rural,Femme,48,Marie(e),Primaire,Services,Solidaire,Groupe A,4,4,Oui,Oui,285000,18,15.1,139000,120700,-13.2,,3,,3.2,0
BEN-0077,Vallee du Bandama,Rural,Femme,18,Marie(e),Superieur,Commerce,Solidaire,Groupe C,3,7,Non,Non,514000,6,66.4,234500,220600,-5.9,8700,1,100.0,2.9,1
BEN-0078,Marahoue,Semi-urbain,Homme,25,Celibataire,Aucun,Elevage,Solidaire,Groupe B,4,6,Non,Oui,146000,18,16.6,131500,166600,26.7,1300,0,100.0,2.0,1
BEN-0079,Vallee du Bandama,Rural,Femme,43,Marie(e),Secondaire,Artisanat,Solidaire,Groupe C,1,7,Oui,Non,116000,12,16.0,107600,144000,33.8,14400,0,,3.3,1
BEN-0080,Vallee du Bandama,Urbain,Homme,48,Marie(e),Secondaire,Artisanat,Individuel,Groupe C,2,9,Oui,Oui,726000,24,0.5,135500,160200,18.2,11100,1,78.1,3.8,0
BEN-0081,Marahoue,Semi-urbain,Femme,19,Veuf/Veuve,Secondaire,Commerce,Individuel,Groupe A,0,7,Oui,Oui,277000,12,6.3,164800,195600,18.7,,0,83.6,3.7,0
BEN-0082,Vallee du Bandama,Urbain,Homme,32,Marie(e),Primaire,Commerce,Solidaire,Groupe A,3,6,Oui,Oui,298000,12,0.5,143000,215100,50.4,20900,0,98.4,2.9,1
BEN-0083,Vallee du Bandama,Rural,Femme,35,Marie(e),Aucun,Agriculture,Individuel,Groupe A,2,1,Oui,Non,919000,24,16.9,51800,52700,1.7,5300,2,62.5,1.4,1
BEN-0084,Zanzan,Semi-urbain,Homme,19,Marie(e),Primaire,Agriculture,Solidaire,Groupe B,2,7,Oui,Oui,305000,18,16.4,,343800,32.8,8900,1,93.8,3.4,1
BEN-0085,Vallee du Bandama,Urbain,Femme,24,Marie(e),Primaire,Agriculture,Solidaire,Groupe B,3,4,Oui,Oui,422000,12,5.0,319800,443100,38.6,6900,3,85.3,3.4,0
BEN-0086,Zanzan,Urbain,Homme,28,Marie(e),Primaire,Commerce,Solidaire,Groupe A,1,2,Oui,Oui,436000,6,0.5,349800,371100,6.1,33600,2,86.1,,1
BEN-0087,Vallee du Bandama,Urbain,Femme,18,Marie(e),Aucun,Agriculture,Individuel,Groupe C,1,5,Oui,Oui,352000,36,11.6,232100,288600,24.3,22400,1,81.4,3.9,1
BEN-0088,Vallee du Bandama,Rural,Homme,29,Marie(e),Primaire,Agriculture,Solidaire,Groupe A,0,4,Oui,Non,531000,6,33.6,137500,165600,20.4,10600,0,92.7,3.7,0
BEN-0089,Vallee du Bandama,Rural,Homme,72,Celibataire,Secondaire,Transformation,Individuel,Groupe A,5,6,Non,Non,491000,12,41.2,,219700,23.2,20000,1,92.8,2.4,1
BEN-0090,Vallee du Bandama,Rural,Femme,52,Marie(e),Primaire,Agriculture,Individuel,Groupe C,3,4,Oui,Non,537000,24,16.9,69200,77000,11.3,4200,1,,3.8,0
BEN-0091,Vallee du Bandama,Semi-urbain,Femme,38,Marie(e),Primaire,Artisanat,Individuel,Groupe B,2,4,Oui,Oui,510000,18,12.9,39300,42300,7.6,1700,0,66.9,3.3,0
BEN-0092,Vallee du Bandama,Rural,Femme,22,Veuf/Veuve,Superieur,Agriculture,Solidaire,Groupe A,2,1,Non,Non,258000,18,15.8,,148500,31.9,13900,5,98.5,5.0,0
BEN-0093,Marahoue,Rural,Femme,20,Marie(e),Aucun,Commerce,Individuel,Groupe B,2,4,Oui,Non,509000,12,17.4,20100,28600,42.3,,1,79.8,2.6,1
BEN-0094,Belier,Semi-urbain,Femme,29,Veuf/Veuve,Aucun,Elevage,Solidaire,Groupe C,1,8,Non,Oui,72000,36,29.3,120400,155500,29.2,7600,1,90.4,1.0,1
BEN-0095,Zanzan,Semi-urbain,Femme,32,Celibataire,Primaire,Agriculture,Solidaire,Groupe C,4,5,Oui,Oui,488000,18,14.1,131600,138900,5.5,7100,2,100.0,3.6,0
BEN-0096,Vallee du Bandama,Urbain,Homme,24,Marie(e),Superieur,Commerce,Solidaire,Groupe C,2,6,Oui,Oui,421000,6,0.5,429900,658500,53.2,3500,2,100.0,2.4,1
BEN-0097,Vallee du Bandama,Rural,Femme,27,Veuf/Veuve,Primaire,Services,Solidaire,Groupe C,4,2,Non,Oui,91000,12,23.2,112900,125700,11.3,5800,0,90.3,2.2,1
BEN-0098,Belier,Rural,Homme,24,Marie(e),Aucun,Commerce,Solidaire,Groupe C,0,4,Oui,Non,263000,6,28.4,60400,75200,24.5,2600,1,75.9,2.5,0
BEN-0099,Vallee du Bandama,Rural,Femme,34,Marie(e),Aucun,Artisanat,Solidaire,Groupe C,0,3,Non,Non,195000,24,55.4,91100,139100,52.7,9200,0,66.6,2.9,1
BEN-0100,Marahoue,Semi-urbain,Femme,44,Marie(e),Secondaire,Commerce,Individuel,Groupe C,1,3,Non,Non,568000,12,0.9,145900,206900,41.8,8900,3,75.2,3.4,0
BEN-0101,Zanzan,Semi-urbain,Homme,51,Marie(e),Secondaire,Commerce,Solidaire,Groupe A,1,4,Non,Non,333000,24,3.8,233000,261200,12.1,500,1,61.2,4.7,0
BEN-0102,Vallee du Bandama,Urbain,Femme,18,Celibataire,Aucun,Commerce,Solidaire,Groupe C,3,7,Oui,Non,158000,6,0.5,184300,316800,71.9,23200,2,100.0,2.6,1
BEN-0103,Cavally,Urbain,Femme,45,Celibataire,Secondaire,Artisanat,Solidaire,Groupe B,2,5,Oui,Oui,309000,18,4.6,246100,403300,63.9,27400,2,100.0,1.6,1
BEN-0104,Vallee du Bandama,Semi-urbain,Femme,43,Celibataire,Primaire,Transformation,Solidaire,Groupe C,3,7,Oui,Oui,140000,18,14.7,142900,168400,17.8,9800,0,85.4,3.9,0
BEN-0105,Vallee du Bandama,Semi-urbain,Homme,47,Celibataire,Aucun,Services,Solidaire,Groupe C,2,6,Non,Non,552000,18,15.2,182200,255900,40.5,8800,1,74.9,4.1,1
BEN-0106,Cavally,Rural,Femme,41,Marie(e),Aucun,Commerce,Individuel,Groupe A,2,5,Oui,Non,277000,6,16.8,65000,68500,5.4,8000,1,69.3,2.7,1
BEN-0107,Cavally,Rural,Femme,36,Marie(e),Primaire,Agriculture,Solidaire,Groupe A,0,6,Oui,Non,472000,24,42.0,131400,153800,17.0,6600,0,67.7,3.2,1
BEN-0108,Vallee du Bandama,Semi-urbain,Homme,56,Celibataire,Secondaire,Agriculture,Solidaire,Groupe B,1,4,Oui,Non,97000,12,9.4,214900,275700,28.3,21000,0,100.0,3.7,1
BEN-0109,Vallee du Bandama,Urbain,Homme,25,Marie(e),Primaire,Agriculture,Solidaire,Groupe A,1,4,Non,Oui,32000,18,0.5,231000,275900,19.4,7600,0,90.6,4.3,0
BEN-0110,Zanzan,Rural,Femme,26,Marie(e),Primaire,Artisanat,Solidaire,Groupe A,1,2,Non,Oui,188000,12,36.8,71100,87500,23.1,9100,0,79.2,2.1,1
BEN-0111,Belier,Rural,Femme,47,Marie(e),Superieur,Artisanat,Individuel,Groupe B,1,4,Non,Oui,634000,12,17.9,274300,320600,16.9,18400,0,85.9,1.8,1
BEN-0112,Marahoue,Semi-urbain,Homme,37,Marie(e),Secondaire,Commerce,Solidaire,Groupe B,1,7,Oui,Oui,164000,12,9.0,246300,292300,18.7,14300,0,100.0,4.6,0
BEN-0113,Belier,Urbain,Femme,31,Divorce(e),Aucun,Artisanat,Solidaire,Groupe B,2,3,Oui,Non,186000,18,9.9,151800,205900,35.6,3900,1,83.5,5.0,0
BEN-0114,Vallee du Bandama,Semi-urbain,Femme,35,Marie(e),Aucun,Elevage,Solidaire,Groupe C,4,5,Non,Oui,110000,24,15.5,99900,126800,26.9,1400,0,93.9,4.7,0
BEN-0115,Belier,Rural,Femme,29,Divorce(e),Secondaire,Services,Individuel,Groupe A,1,8,Oui,Non,282000,24,41.7,148900,213900,43.7,14500,2,96.1,5.0,0
BEN-0116,Zanzan,Urbain,Homme,27,Celibataire,Aucun,Services,Solidaire,Groupe C,2,10,Non,Oui,140000,36,0.5,141600,173900,22.8,6100,2,63.2,4.7,0
BEN-0117,Zanzan,Rural,Femme,45,Divorce(e),Secondaire,Agriculture,Solidaire,Groupe A,1,1,Oui,Non,213000,12,20.3,174500,206100,18.1,17200,0,99.2,2.0,1
BEN-0118,Vallee du Bandama,Semi-urbain,Homme,55,Marie(e),Superieur,Transformation,Solidaire,Groupe B,3,9,Non,Non,815000,18,3.4,151000,212900,41.0,23700,1,100.0,4.1,0
BEN-0119,Cavally,Semi-urbain,Homme,31,Celibataire,Primaire,Agriculture,Solidaire,Groupe B,1,3,Non,Non,171000,18,9.8,97800,151000,54.4,10100,0,100.0,,0
BEN-0120,Vallee du Bandama,Rural,Femme,29,Celibataire,Secondaire,Agriculture,Solidaire,Groupe C,1,4,Non,Non,92000,18,54.5,65600,75200,14.6,3100,0,100.0,3.6,0
BEN-0121,Vallee du Bandama,Urbain,Femme,39,Veuf/Veuve,Primaire,Commerce,Individuel,Groupe C,0,4,Oui,Oui,163000,12,0.5,283400,424800,49.9,3900,0,65.3,1.0,1
BEN-0122,Belier,Semi-urbain,Homme,55,Celibataire,Aucun,Services,Individuel,Groupe B,1,5,Oui,Non,719000,6,8.8,130900,174800,33.5,3200,0,58.1,1.6,1
BEN-0123,Belier,Semi-urbain,Femme,38,Marie(e),Primaire,Services,Individuel,Groupe A,1,6,Oui,Oui,662000,18,2.5,209800,253200,20.7,14200,1,89.5,2.6,1
BEN-0124,Vallee du Bandama,Semi-urbain,Femme,35,Marie(e),Aucun,Commerce,Solidaire,Groupe A,3,8,Non,Non,310000,12,9.3,33500,48700,45.4,300,3,100.0,,0
BEN-0125,Belier,Urbain,Femme,45,Marie(e),Primaire,Commerce,Individuel,Groupe A,1,9,Oui,Oui,683000,12,0.5,181800,187200,3.0,10300,1,70.0,3.8,1
BEN-0126,Zanzan,Urbain,Homme,48,Marie(e),Superieur,Agriculture,Solidaire,Groupe B,1,7,Non,Oui,210000,24,0.5,193200,258600,33.9,3000,4,100.0,4.0,0
BEN-0127,Zanzan,Urbain,Femme,32,Marie(e),Secondaire,Agriculture,Solidaire,Groupe B,0,7,Oui,Oui,128000,24,1.0,146400,162500,11.0,4000,1,82.4,4.2,0
BEN-0128,Zanzan,Urbain,Femme,47,Celibataire,Primaire,Commerce,Solidaire,Groupe A,3,4,Oui,Oui,334000,18,0.5,748200,1003000,34.1,23500,2,100.0,1.3,1
BEN-0129,Vallee du Bandama,Rural,Femme,39,Marie(e),Aucun,Services,Solidaire,Groupe C,1,7,Non,Oui,560000,12,24.6,16700,17900,7.2,1100,1,79.7,3.9,0
BEN-0130,Cavally,Urbain,Homme,27,Marie(e),Primaire,Agriculture,Solidaire,Groupe C,2,4,Oui,Oui,1007000,18,0.5,476200,547500,15.0,34200,1,100.0,3.1,1
BEN-0131,Zanzan,Rural,Femme,44,Marie(e),Primaire,Services,Solidaire,Groupe C,1,3,Non,Non,187000,12,16.2,199000,196300,-1.4,25200,1,79.0,2.8,1
BEN-0132,Zanzan,Urbain,Homme,30,Marie(e),Aucun,Transformation,Solidaire,Groupe C,3,7,Non,Oui,654000,12,8.8,87000,114700,31.8,1900,0,100.0,4.7,0
BEN-0133,Vallee du Bandama,Rural,Femme,48,Marie(e),Aucun,Artisanat,Individuel,Groupe C,4,5,Oui,Non,388000,18,27.4,216700,356500,64.5,18500,1,98.0,3.4,1
BEN-0134,Zanzan,Rural,Homme,35,Marie(e),Secondaire,Commerce,Solidaire,Groupe A,2,6,Non,Oui,311000,12,21.9,232400,307400,32.3,7200,3,,3.9,0
BEN-0135,Zanzan,Urbain,Femme,40,Celibataire,Aucun,Commerce,Solidaire,Groupe B,2,6,Oui,Oui,324000,12,0.5,170400,187100,9.8,2100,1,100.0,1.5,1
BEN-0136,Cavally,Semi-urbain,Homme,38,Marie(e),Secondaire,Agriculture,Solidaire,Groupe A,0,6,Non,Oui,184000,6,41.0,126900,180200,42.0,15900,0,98.8,3.9,0
BEN-0137,Vallee du Bandama,Urbain,Femme,32,Marie(e),Primaire,Elevage,Individuel,Groupe A,4,5,Non,Non,238000,18,0.5,84000,106700,27.0,800,1,98.8,4.3,0
BEN-0138,Marahoue,Rural,Homme,18,Marie(e),Primaire,Artisanat,Individuel,Groupe C,3,5,Non,Non,388000,24,22.7,87800,108200,23.2,500,2,99.8,1.6,1
