id_beneficiaire;region;zone;genre;activite_principale;montant_pret_fcfa;revenu_avant_fcfa;revenu_apres_fcfa;variation_revenu_pct;taux_remboursement_pct;defaut_flag;score_risque;profil_accompagnement;action_terrain
BEN-0030;Vallee du Bandama;Rural;Homme;Agriculture;307000;94000.0;96400;2.6;90.7;0;26.1;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0031;Zanzan;Urbain;Femme;Commerce;151000;99200.0;114600;15.5;79.2;0;40.6;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0032;Cavally;Semi-urbain;Femme;Commerce;304000;163400.0;241200;11.2;100.0;1;43.6;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0033;Belier;Rural;Homme;Services;493000;87300.0;89300;2.3;93.6;0;66.1;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0034;Marahoue;Semi-urbain;Femme;Artisanat;250000;69000.0;91700;32.9;74.3;1;45.2;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0035;Vallee du Bandama;Semi-urbain;Femme;Agriculture;103000;101800.0;145600;43.0;100.0;0;26.6;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0036;Zanzan;Urbain;Homme;Services;288000;228000.0;331000;45.2;82.9;0;35.1;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0037;Zanzan;Semi-urbain;Femme;Artisanat;124000;138000.0;149100;8.0;100.0;0;44.5;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0038;Marahoue;Urbain;Femme;Services;342000;129800.0;160600;23.7;78.3;0;42.8;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0039;Cavally;Semi-urbain;Homme;Services;196000;437400.0;469400;7.3;67.0;1;61.7;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0040;Zanzan;Semi-urbain;Homme;Transformation;52000;202800.0;298900;47.4;100.0;1;64.9;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0041;Cavally;Rural;Femme;Agriculture;464000;137550.0;196200;26.6;76.4;1;47.7;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0042;Zanzan;Urbain;Femme;Artisanat;411000;118700.0;129200;8.8;68.2;0;22.3;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0043;Marahoue;Rural;Femme;Services;181000;138700.0;146600;5.7;80.2;1;52.8;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0044;Cavally;Urbain;Homme;Agriculture;202000;137550.0;288100;37.9;68.4;0;59.7;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0045;Zanzan;Rural;Femme;Agriculture;238000;47500.0;56300;18.5;100.0;0;46.7;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0046;Marahoue;Semi-urbain;Femme;Commerce;119000;250100.0;305300;22.1;100.0;1;51.8;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0047;Vallee du Bandama;Urbain;Femme;Artisanat;227000;164800.0;238800;44.9;81.2;1;50.0;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0048;Zanzan;Urbain;Femme;Commerce;272000;169200.0;236400;39.7;47.2;1;46.4;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0049;Vallee du Bandama;Rural;Femme;Commerce;444000;209500.0;287700;37.3;100.0;1;27.4;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0050;Belier;Urbain;Homme;Commerce;233000;171900.0;204100;18.7;84.2;0;39.8;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0051;Belier;Urbain;Femme;Artisanat;102000;89700.0;108400;20.8;99.7;0;50.8;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0052;Cavally;Semi-urbain;Femme;Artisanat;249000;255900.0;286700;12.0;62.7;1;57.9;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0053;Vallee du Bandama;Rural;Homme;Services;298000;288500.0;350400;21.5;96.6;0;42.0;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0054;Zanzan;Urbain;Homme;Services;292000;123800.0;181000;46.2;83.0;1;40.5;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0055;Vallee du Bandama;Semi-urbain;Femme;Transformation;341000;126200.0;171800;36.1;82.1;1;62.3;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0056;Cavally;Urbain;Homme;Commerce;295000;100000.0;91300;-8.7;92.1;0;45.9;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0057;Cavally;Semi-urbain;Femme;Transformation;281000;359300.0;573900;59.7;86.0;0;67.8;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0058;Vallee du Bandama;Semi-urbain;Femme;Agriculture;106000;114000.0;185900;63.1;100.0;0;49.0;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0059;Cavally;Semi-urbain;Femme;Commerce;70000;185200.0;197400;6.6;79.7;1;43.6;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0060;Zanzan;Semi-urbain;Femme;Commerce;296000;107100.0;148300;38.5;86.4;0;38.4;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0061;Vallee du Bandama;Rural;Homme;Agriculture;187000;201800.0;258100;27.9;91.6;1;29.4;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0062;Belier;Rural;Femme;Commerce;88000;163400.0;140400;-8.6;90.8;1;54.3;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0063;Zanzan;Rural;Femme;Elevage;139000;294600.0;371400;26.1;100.0;1;58.5;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0064;Cavally;Semi-urbain;Femme;Agriculture;217000;69100.0;88400;27.9;100.0;1;33.3;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0065;Belier;Rural;Femme;Commerce;708000;56300.0;71200;26.5;90.8;1;62.3;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0066;Cavally;Rural;Femme;Services;292000;155500.0;198800;27.8;78.1;0;60.2;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0067;Cavally;Rural;Femme;Agriculture;471000;105800.0;116500;10.1;68.7;0;59.0;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0068;Vallee du Bandama;Semi-urbain;Femme;Agriculture;664000;107600.0;153600;42.8;99.1;0;51.6;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0069;Zanzan;Rural;Femme;Commerce;471000;82300.0;96200;16.9;94.0;1;47.5;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0070;Belier;Urbain;Femme;Agriculture;307000;170300.0;210400;23.5;91.8;1;58.8;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0071;Belier;Rural;Femme;Commerce;606000;79200.0;108200;36.6;69.5;0;50.1;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0072;Zanzan;Semi-urbain;Femme;Artisanat;497000;119200.0;137000;14.9;94.6;0;41.1;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0073;Belier;Rural;Homme;Commerce;555000;134100.0;154600;15.3;59.0;1;53.7;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0074;Marahoue;Rural;Femme;Artisanat;216000;23100.0;32800;42.0;85.1;1;52.3;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0075;Marahoue;Semi-urbain;Homme;Commerce;481000;90400.0;94400;4.4;100.0;0;58.7;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0076;Zanzan;Rural;Femme;Services;285000;139000.0;120700;-13.2;90.8;0;48.8;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0077;Vallee du Bandama;Rural;Femme;Commerce;514000;234500.0;220600;-5.9;100.0;1;60.2;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0078;Marahoue;Semi-urbain;Homme;Elevage;146000;131500.0;166600;26.7;100.0;1;32.9;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0079;Vallee du Bandama;Rural;Femme;Artisanat;116000;107600.0;144000;33.8;90.3;1;32.1;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0080;Vallee du Bandama;Urbain;Homme;Artisanat;726000;135500.0;160200;18.2;78.1;0;37.4;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0081;Marahoue;Semi-urbain;Femme;Commerce;277000;164800.0;195600;18.7;83.6;0;30.5;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0082;Vallee du Bandama;Urbain;Homme;Commerce;298000;143000.0;215100;50.4;98.4;1;48.7;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0083;Vallee du Bandama;Rural;Femme;Agriculture;919000;51800.0;52700;1.7;62.5;1;65.2;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0084;Zanzan;Semi-urbain;Homme;Agriculture;305000;137550.0;343800;32.8;93.8;1;51.7;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0085;Vallee du Bandama;Urbain;Femme;Agriculture;422000;319800.0;443100;38.6;85.3;0;62.9;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0086;Zanzan;Urbain;Homme;Commerce;436000;349800.0;371100;6.1;86.1;1;65.4;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0087;Vallee du Bandama;Urbain;Femme;Agriculture;352000;232100.0;288600;24.3;81.4;1;58.3;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0088;Vallee du Bandama;Rural;Homme;Agriculture;531000;137500.0;165600;20.4;92.7;0;64.5;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0089;Vallee du Bandama;Rural;Homme;Transformation;491000;148600.0;219700;23.2;92.8;1;45.7;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0090;Vallee du Bandama;Rural;Femme;Agriculture;537000;69200.0;77000;11.3;90.3;0;54.6;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0091;Vallee du Bandama;Semi-urbain;Femme;Artisanat;510000;39300.0;42300;7.6;66.9;0;47.8;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0092;Vallee du Bandama;Rural;Femme;Agriculture;258000;137550.0;148500;31.9;98.5;0;46.3;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0093;Marahoue;Rural;Femme;Commerce;509000;20100.0;28600;42.3;79.8;1;56.9;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0094;Belier;Semi-urbain;Femme;Elevage;72000;120400.0;155500;29.2;90.4;1;29.4;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0095;Zanzan;Semi-urbain;Femme;Agriculture;488000;131600.0;138900;5.5;100.0;0;51.4;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0096;Vallee du Bandama;Urbain;Homme;Commerce;421000;429900.0;658500;53.2;100.0;1;67.1;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0097;Vallee du Bandama;Rural;Femme;Services;91000;112900.0;125700;11.3;90.3;1;38.8;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0098;Belier;Rural;Homme;Commerce;263000;60400.0;75200;24.5;75.9;0;55.5;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0099;Vallee du Bandama;Rural;Femme;Artisanat;195000;91100.0;139100;52.7;66.6;1;49.0;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0100;Marahoue;Semi-urbain;Femme;Commerce;568000;145900.0;206900;41.8;75.2;0;32.3;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0101;Zanzan;Semi-urbain;Homme;Commerce;333000;233000.0;261200;12.1;61.2;0;33.2;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0102;Vallee du Bandama;Urbain;Femme;Commerce;158000;184300.0;316800;71.9;100.0;1;59.5;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0103;Cavally;Urbain;Femme;Artisanat;309000;246100.0;403300;63.9;100.0;1;34.8;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0104;Vallee du Bandama;Semi-urbain;Femme;Transformation;140000;142900.0;168400;17.8;85.4;0;59.6;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0105;Vallee du Bandama;Semi-urbain;Homme;Services;552000;182200.0;255900;40.5;74.9;1;61.3;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0106;Cavally;Rural;Femme;Commerce;277000;65000.0;68500;5.4;69.3;1;51.3;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0107;Cavally;Rural;Femme;Agriculture;472000;131400.0;153800;17.0;67.7;1;60.7;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0108;Vallee du Bandama;Semi-urbain;Homme;Agriculture;97000;214900.0;275700;28.3;100.0;1;34.5;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0109;Vallee du Bandama;Urbain;Homme;Agriculture;32000;231000.0;275900;19.4;90.6;0;42.2;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0110;Zanzan;Rural;Femme;Artisanat;188000;71100.0;87500;23.1;79.2;1;37.9;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0111;Belier;Rural;Femme;Artisanat;634000;274300.0;320600;16.9;85.9;1;52.7;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0112;Marahoue;Semi-urbain;Homme;Commerce;164000;246300.0;292300;18.7;100.0;0;31.8;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0113;Belier;Urbain;Femme;Artisanat;186000;151800.0;205900;35.6;83.5;0;59.5;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0114;Vallee du Bandama;Semi-urbain;Femme;Elevage;110000;99900.0;126800;26.9;93.9;0;27.7;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0115;Belier;Rural;Femme;Services;282000;148900.0;213900;43.7;96.1;0;41.9;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0116;Zanzan;Urbain;Homme;Services;140000;141600.0;173900;22.8;63.2;0;43.3;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0117;Zanzan;Rural;Femme;Agriculture;213000;174500.0;206100;18.1;99.2;1;35.1;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0118;Vallee du Bandama;Semi-urbain;Homme;Transformation;815000;151000.0;212900;41.0;100.0;0;70.5;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0119;Cavally;Semi-urbain;Homme;Agriculture;171000;97800.0;151000;54.4;100.0;0;45.2;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0120;Vallee du Bandama;Rural;Femme;Agriculture;92000;65600.0;75200;14.6;100.0;0;23.7;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0121;Vallee du Bandama;Urbain;Femme;Commerce;163000;283400.0;424800;49.9;65.3;1;52.2;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0122;Belier;Semi-urbain;Homme;Services;719000;130900.0;174800;33.5;58.1;1;67.5;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0123;Belier;Semi-urbain;Femme;Services;662000;209800.0;253200;20.7;89.5;1;62.5;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0124;Vallee du Bandama;Semi-urbain;Femme;Commerce;310000;33500.0;48700;45.4;100.0;0;42.6;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0125;Belier;Urbain;Femme;Commerce;683000;181800.0;187200;3.0;70.0;1;55.9;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0126;Zanzan;Urbain;Homme;Agriculture;210000;193200.0;258600;33.9;100.0;0;36.4;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0127;Zanzan;Urbain;Femme;Agriculture;128000;146400.0;162500;11.0;82.4;0;25.3;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0128;Zanzan;Urbain;Femme;Commerce;334000;748200.0;1003000;34.1;100.0;1;80.1;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0129;Vallee du Bandama;Rural;Femme;Services;560000;16700.0;17900;7.2;79.7;0;41.7;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0130;Cavally;Urbain;Homme;Agriculture;1007000;476200.0;547500;15.0;100.0;1;81.5;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0131;Zanzan;Rural;Femme;Services;187000;199000.0;196300;-1.4;79.0;1;52.6;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0132;Zanzan;Urbain;Homme;Transformation;654000;87000.0;114700;31.8;100.0;0;63.5;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0133;Vallee du Bandama;Rural;Femme;Artisanat;388000;216700.0;356500;64.5;98.0;1;65.5;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0134;Zanzan;Rural;Homme;Commerce;311000;232400.0;307400;32.3;90.8;0;27.6;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0135;Zanzan;Urbain;Femme;Commerce;324000;170400.0;187100;9.8;100.0;1;49.3;VULNÉRABLE : Renforcement capacités (Faible impact);FORMATION : Inscription module gestion
BEN-0136;Cavally;Semi-urbain;Homme;Agriculture;184000;126900.0;180200;42.0;98.8;0;21.0;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0137;Vallee du Bandama;Urbain;Femme;Elevage;238000;84000.0;106700;27.0;98.8;0;36.5;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0138;Marahoue;Rural;Homme;Artisanat;388000;87800.0;108200;23.2;99.8;1;54.9;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0139;Zanzan;Urbain;Femme;Agriculture;601000;137550.0;183200;49.4;92.2;0;56.8;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
BEN-0140;Cavally;Urbain;Homme;Artisanat;128000;341000.0;413600;21.3;100.0;0;61.8;ALERTE : Tutorat obligatoire (Risque élevé);URGENT : Visite de contrôle sous 48h
BEN-0141;Belier;Semi-urbain;Homme;Artisanat;749000;143600.0;174800;21.7;98.7;1;34.9;STABLE : Profil Ambassadeur (Prêt relais recommandé);FIDÉLISATION : Proposer extension de prêt
BEN-0142;Vallee du Bandama;Semi-urbain;Femme;Commerce;604000;170900.0;249900;46.2;85.2;1;58.9;SUIVI : Coaching gestion (Bon impact mais risqué);SUIVI : Coaching mensuel
